"","ID","Fecha","Tweet","Favorites","Retweets"
"1","1,30308E+18","07/09/2020 21:20"," inhumados cementerio verbena 636 hombres 293 mujeres ",0,1
"2","1,30307E+18","07/09/2020 20:30"," gobierno guatemala traves secretaria comunicacion social presidencia inicio serie c ",4,3
"3","1,30306E+18","07/09/2020 20:17","sjpeace and migrant workers from mexico and guatemala are 70 of the coronavirus cases in agricultural regions of monterey county",0,0
"4","1,30306E+18","07/09/2020 20:14"," tipica papa francisco dice inserte q q ver peor coronavirus comunicado ce ",3,0
"5","1,30306E+18","07/09/2020 19:58","paja dia parte aquellos mentirosos segaon ministerio salud aoltimas 24 horas sumaron ",0,0
"6","1,30306E+18","07/09/2020 19:44","coronavirus guatemala 77828 casos eumulados carlos r paredes 7 septiembre 2020 dia 177 aincluso re ",0,0
"7","1,30306E+18","07/09/2020 19:39","claudiaguns primero dios llega coronavirus guatemala tf",0,0
"8","1,30305E+18","07/09/2020 19:30","guatemala mantiene 8 mil 382 casos activos infectados brote coronavirus ",0,0
"9","1,30305E+18","07/09/2020 19:12","guatemala reporta 66 mil 584 recuperados coronavirus ",0,0
"10","1,30304E+18","07/09/2020 18:50"," ficcion unimos eselcolmogt campa busca evidenciar traves cronicas periodisticas varias ",8,7
"11","1,30304E+18","07/09/2020 18:26","lionelmessi sequeda buenlunes 7deseptiembre felizlunes coronavirus covid19 ",0,0
"12","1,30303E+18","07/09/2020 18:15","unidoscontraelcoronavirus minsaludguate reporto recuperaron 66 mil 584 pacientes coronavirus covi ",2,0
"13","1,30303E+18","07/09/2020 18:09","guatemala coronavirus cases at 77683 persons ",0,0
"14","1,30303E+18","07/09/2020 17:54","coronavirusgt pense perfil llamaba coronavirus guatemala",0,0
"15","1,30303E+18","07/09/2020 17:40","update new cases of coronavirus covid19 covid19 spain 26560 tot 525549 us 3489 tot 6289964 israel ",1,0
"16","1,30303E+18","07/09/2020 17:39"," menos 184 mil trabajadores beneficiados traves fondodeprotecciondelempleo parte ayuda ",9,5
"17","1,30302E+18","07/09/2020 17:32","alertacoronavirus menos 184 mil trabajadores beneficiados traves fondodeprotecciondelempleo co ",0,1
"18","1,30302E+18","07/09/2020 17:29","ciudad guatemala hoy 700 m dar mejor inicio semana nimo fe ganar guerra coro ",0,0
"19","1,30302E+18","07/09/2020 17:15","coronavirus update in guatemala new cases confirmed 145 new recovered 453 new deaths 10 total cases in guatem ",0,0
"20","1,30302E+18","07/09/2020 17:11","145 new cases and 10 new deaths in guatemala 1811 gmt coronavirus coronavirusupdate covid19 coronaviruspandemic",0,0
"21","1,30301E+18","07/09/2020 16:53","guatemala paises bajos puestos 40 41 total casos coronavirus covid19 worldometers 179 17 ",4,0
"22","1,30301E+18","07/09/2020 16:42"," presidente alejandro giammattei informo poblacion casos coronavirus covid19 guatemala di ",0,0
"23","1,303E+18","07/09/2020 15:59","actualizacion guatemala 20200906 nuevos casos 202 fallecidos dia 7 total casos 77683 total recuperad ",0,0
"24","1,303E+18","07/09/2020 15:57"," aumento tarifa cubrir costos operacion emergencia covid19 segaon trans ",7,0
"25","1,30299E+18","07/09/2020 15:08"," pais acumula 77 mil 828 casos totales infectados coronavirus telediario",1,0
"26","1,30299E+18","07/09/2020 15:04","c coronavirus guatemala 145 casos nuevos 10 fallecidos 599 pruebas realizadas domingo 06 sept ",5,0
"27","1,30298E+18","07/09/2020 14:57","coronavirus guatemala salud reporta 145 nuevos casos 599 pruebas procesadas ",10,2
"28","1,30298E+18","07/09/2020 14:57","cifras totales covid19 suman 77 mil 828 contagios 2 mil 862 muertes guatemala ",4,0
"29","1,30298E+18","07/09/2020 14:51"," escuela maria esperanza alicia tuctuc mux tenia prohibido hablar kaqchikel idioma ma ",83,20
"30","1,30298E+18","07/09/2020 14:46","etualizeian ministerio salud actualiza datos coronavirus guatemala informa aoltima ",4,3
"31","1,30298E+18","07/09/2020 14:40","ministerio salud confirma 145 casos coronavirus cifra aumento 77828 guatemala red ",0,0
"32","1,30298E+18","07/09/2020 14:35","nacionalesgt actualizacion casos coronavirus guatemala 77828 casos registrados 145 casos nuevos ",1,0
"33","1,30298E+18","07/09/2020 14:35","eucoronavirus ministerio salud paoblica uistencia social mspas actualizo datos situacion ",6,2
"34","1,30298E+18","07/09/2020 14:34","coronavirusgt ministerio salud paoblica uistencia social mspas actualizo datos situacion ",2,0
"35","1,30298E+18","07/09/2020 14:31","urgente segaon minsaludguate aoltimas 24 horas sumaron 145 casos positivos 10 muertes coronavirusgt ",1,0
"36","1,30298E+18","07/09/2020 14:31","urgente segaon minsaludguate aoltimas 24 horas sumaron 145 casos positivos 10 muertes eucoronavirus ",8,3
"37","1,30297E+18","07/09/2020 14:19","guatemala coronavirus deaths at 2852 persons ",0,0
"38","1,30297E+18","07/09/2020 14:18","hoy primera mujer presidenta academia lenguas mayas guatemala mision promover co ",8,2
"40","1,30296E+18","07/09/2020 13:24","covid19 coronavirus centroamerica repaoblica dominicana 93333 repaoblica dominicana 97043 panama 7768 ",7,7
"41","1,30296E+18","07/09/2020 13:10","we thank drgiammattei amp the government of centralamerica ally guatemala for urging taiwans inclusion in the ",260,53
"42","1,30295E+18","07/09/2020 12:58","crees descenso casos coronavirus guatemala deben ",0,0
"43","1,30295E+18","07/09/2020 12:45","situeian covid19 mandatario anuncio noche domingo disposiciones estaran vigentes p ",0,0
"44","1,30294E+18","07/09/2020 12:14"," cree bajado casos coronavirus guatemala vlnalabaja",12,3
"45","1,30294E+18","07/09/2020 12:08"," municipio guatemala encamina vencer coronavirus julio fundesa dono 15 mil 445 kits medicame ",10,3
"46","1,30291E+18","07/09/2020 10:15","porsinolovio mas laboratorios estan capacitacion puedan sumarse diagnostico covid19 ",5,0
"47","1,30289E+18","07/09/2020 8:57","guatemala mantiene restricciones coronavirus fiestas independencia ",0,0
"48","1,30288E+18","07/09/2020 8:08","coronavirus latinoamerica lunes 07 septiembre 2020 900h hora icanarias covid19 casos colombia perao bra ",1,3
"49","1,30286E+18","07/09/2020 7:00","neionales fondos emergencia seran prestados 20 plazo ",1,0
"50","1,30285E+18","07/09/2020 6:00","honduras cuenta segunda tasa letalidad mas alta centroamerica delante nicaragua detr ",0,0
"51","1,30284E+18","07/09/2020 5:20","urgente ultima hora guatemala informo 202 nuevos casos coronavirus 7 personas fallecidas ultimas ",0,0
"52","1,30284E+18","07/09/2020 5:19","coronavirus guatemala 6 septiembre ",0,0
"53","1,30283E+18","07/09/2020 4:33","total casos confirmados covid19 millon habitantes honduras guatemala salvador costa rica ",2,0
"54","1,30283E+18","07/09/2020 4:33","total casos confirmados covid19 honduras guatemala salvador costa rica hoy 6 septiembr ",3,3
"55","1,30283E+18","07/09/2020 4:31","haaa presidente dice guatemala libre coronavirus mapa mundial coronavirus mas 269 mil ",3,0
"56","1,30282E+18","07/09/2020 4:13","1 guatemala reportan 202 nuevos casos 7 nuevas muertes coronavirus guatemala",0,0
"57","1,30281E+18","07/09/2020 3:34","honduras cuenta segunda tasa letalidad mas alta centroamerica delante nicaragua ",0,0
"58","1,30281E+18","07/09/2020 3:33","covid19gt naomero casos confirmados decesos coronavirus siguen hacia baja aunque mayoria ",5,1
"60","1,30281E+18","07/09/2020 3:19"," aire programa igsstv trecevision canales11y13 imagen seguridad social guatemala ",0,0
"61","1,30281E+18","07/09/2020 3:13","dificil creer tendencia baja casos nuevos coronavirus guatemala mostrar mapa mas mun ",3,0
"62","1,3028E+18","07/09/2020 3:00"," domingo 6 septiembre presidente alejandro giammattei informo disposiciones presidenciales ",8,0
"63","1,3028E+18","07/09/2020 2:50"," covid19 as i 1actualizacion casos coronavirus guatemala zescaochanos 580kcs am linea ",0,0
"64","1,3028E+18","07/09/2020 2:28","coronavirusgt presidente drgiammattei dio conocer disposiciones emergencia covid19 ",0,0
"65","1,3028E+18","07/09/2020 2:27","coronavirusgt pido relajemos bajemos guardia dijo mandatario mismo tiempo dio c ",2,0
"66","1,3028E+18","07/09/2020 2:25","guatemala coronavirus recovered at 65595 persons ",0,0
"67","1,3028E+18","07/09/2020 2:25","coronavirusgt presidente alejandro giammattei dio conocer disposiciones emergencia covid19 ",3,2
"68","1,30279E+18","07/09/2020 2:14","urgente mediante cadena nacional radio television presidente drgiammattei dio conocer medidas gube ",6,1
"69","1,30279E+18","07/09/2020 2:14","guatemala coronavirus update 0709 0000 utc health ",0,1
"70","1,30279E+18","07/09/2020 2:13","presidente guatemala subraya disminucion contagios coronavirus aoltimas 9 semanas ",0,1
"71","1,30279E+18","07/09/2020 2:09","guatemala nunca ido mundial segaon presidente primer pais va venciendo coronavirus hab ",0,0
"72","1,30279E+18","07/09/2020 2:09","segaon drgiammattei casos confirmados coronavirus van hacia baja guatemala pese datos ",29,20
"73","1,30279E+18","07/09/2020 2:08","increible vacuna guatemala derrotando coronavirus dice lordpjas",20,0
"74","1,30279E+18","07/09/2020 1:59"," mensaje radio television presidente drgiammattei tema coronavirus guatemala ",0,0
"75","1,30279E+18","07/09/2020 1:55","nuevovideo covid19 coronavirus quedateencasa yomequedoencasa guatemala ",1,1
"76","1,30279E+18","07/09/2020 1:50"," guatemala trabajamos noticiasigss apoyar ampliacion capacidad sistema salud 38 ",4,3
"77","1,30278E+18","07/09/2020 1:32"," visualizar totales casos diarios relacion evolucion pandemia pais vea ",4,0
"78","1,30276E+18","07/09/2020 0:19"," serio habra crea babosada sinceramente serias dudas ",0,0
"79","1,30275E+18","06/09/2020 23:40","update new cases of coronavirus covid19 covid19 argentina 6986 tot 478792 us 1016 tot 6274388 pana ",2,0
"80","1,30275E+18","06/09/2020 23:15","1 guatemala reportan 202 nuevos casos 7 nuevas muertes coronavirus guatemala guatemala covid19",5,1
"81","1,30275E+18","06/09/2020 23:12","202 new cases and 7 new deaths in guatemala 012 gmt coronavirus coronavirusupdate covid19 coronaviruspandemic",1,0
"82","1,30274E+18","06/09/2020 22:41","dia salubrista gracias x esfuerzo dedicacion atencion poblacion guatemalteca hoy q nunca pa ",4,0
"83","1,30274E+18","06/09/2020 22:40","coronavirus update in guatemala new cases confirmed 202 new recovered 536 new deaths 7 total cases in guatema ",0,0
"84","1,30273E+18","06/09/2020 22:25","coronavirus guatemala hoy cuantos casos registraron 6 septiembre ",1,0
"86","1,30273E+18","06/09/2020 22:19","coronavirus guatemala guatemala registra siete decesos 202 nuevos casos covid19 24 horas via efe",0,0
"87","1,30272E+18","06/09/2020 21:26","coronavirus guatemala 77683 casos eumulados carlos r paredes 6 septiembre 2020 dia 176 aparte cas ",0,0
"88","1,30267E+18","06/09/2020 18:15","guatemala coronavirus cases at 77481 persons ",0,0
"89","1,30266E+18","06/09/2020 17:34"," casos registraron tablero situacion covid19 guatemala juntossaldremosadelante ",1,1
"90","1,30266E+18","06/09/2020 17:14","actualizacion casos coronavirus guatemala ministerio salud informa dos mil 852 guatemaltecos ",15,2
"91","1,30264E+18","06/09/2020 16:13","ministerio salud confirma 202 casos coronavirus cifra aumento 77683 guatemala red ",1,1
"92","1,30264E+18","06/09/2020 16:11","actualizacion guatemala 20200905 nuevos casos 441 fallecidos dia 20 total casos 77481 total recupera ",0,0
"94","1,30264E+18","06/09/2020 16:07","guatemala llega 77 mil 683 casos covid19 registra dos mil 852 fallecidos 13 marzo 2020 ",9,2
"95","1,30264E+18","06/09/2020 16:03","salud informa actualmente cifra casos activos estimados ocho mil 700 ",7,1
"96","1,30264E+18","06/09/2020 16:00","coronavirusgt fondos emergencia seran prestados 20 plazo ",3,0
"97","1,30263E+18","06/09/2020 15:42","coronavirusgt sumaron siete personas fallecidas enfermedad ",1,0
"98","1,30263E+18","06/09/2020 15:42","sanpedrosac empresarios unieron esfuerzos donar 15 catres serviran pacientes coronavirus inter ",1,1
"99","1,30263E+18","06/09/2020 15:34","nacionalesgt actualizacion casos coronavirus guatemala 77683 casos registrados 202 casos nuevos ",1,0
"102","1,30263E+18","06/09/2020 15:29","urgente confirmaron siete nuevos fallecimientos debido enfermedad eucoronavirus ",1,1
"103","1,30263E+18","06/09/2020 15:28","urgente sumaron siete personas fallecidas enfermedad coronavirusgt ",1,0
"104","1,30263E+18","06/09/2020 15:18","travel around the world explore top travel destinations enjoy travelling with us travel news guatemala one ",0,1
"105","1,30261E+18","06/09/2020 14:07"," fresh municipio guatemala encamina vencer coronavirus ",12,3
"106","1,30261E+18","06/09/2020 14:06","hernandezmack 69 802 m francisco 69 802 m francisco ",0,0
"107","1,30261E+18","06/09/2020 14:03","inguat implementa protocolo obligatorio toda actividad turistica guatemala coronavirus ",0,0
"108","1,30261E+18","06/09/2020 14:00","oestamos dolidosa lamentan perdida medico guatemalteco hector barrios murio coronavirus ",0,0
"109","1,30261E+18","06/09/2020 13:59","coronavirus cuarentenas optimas siguen asignatura pendiente mspas ",0,0
"110","1,30261E+18","06/09/2020 13:58","semaforo alertas coronavirus actualiza 201 municipios continaoan rojo ",0,0
"111","1,30259E+18","06/09/2020 13:10","llegamos 201 municipios rojo superar 77481 contagios covid19 esperamos segunda oleada coronavirus guatemala",0,0
"112","1,30259E+18","06/09/2020 13:00","201 municipios alerta roja ministerio salud actualizo sistema alertas municipales covid19 ",0,0
"113","1,30258E+18","06/09/2020 12:23","coronavirus casos covid19 centroamerica repaoblica dominicana 98776 repaoblica dominicana 96305 pana ",4,1
"114","1,30254E+18","06/09/2020 9:22","coronavirus latinoamerica domingo 06 septiembre 2020 900h hora icanarias covid19 casos colombia perao b ",0,5
"115","1,30252E+18","06/09/2020 8:09","coronavirus in guatemala altri 20 nuovi decessi nel paese in totale sono 2845 sale 875623 morti nel mondo ",0,0
"116","1,3025E+18","06/09/2020 7:00","neionales cifra total contagios coronavirus continaoa aumento aoltimas 24 horas reportaron ",2,0
"117","1,30248E+18","06/09/2020 5:31","cesarlucas mmendozagt quiquegodoy ccguatemala sabia habia dr lucas pues cuento ",10,2
"118","1,30248E+18","06/09/2020 5:31","guatemala covid19gt in the last 24 hours the ministry of health reports 441 new cases amp 20 deaths guatemala ",0,0
"119","1,30248E+18","06/09/2020 5:15","urgente ultima hora guatemala informo 441 nuevos casos coronavirus 20 personas fallecidas ultimas ",0,0
"120","1,30247E+18","06/09/2020 4:41","covid19gt s medidas gobierno guatemala municipalidad capitalina sector privado realiz ",26,13
"121","1,30247E+18","06/09/2020 4:40","guatemala reaches 77 thousand 481 cases of covid19 and records two thousand 845 deaths since march 13 2020 ",2,2
